week,department,click_through_rate,training_completed,security_awareness_score,improvement_rate
1,Finance,0.07473150058570815,0.6591790492370838,77.87868744225375,0.18770108059012874
1,HR,0.06288089268348791,0.7081246832636516,77.75805488423151,0.17261983311200113
1,IT,0.07641715658176271,0.658229042203086,74.03362892381324,0.19560887808670835
1,Marketing,0.07873994680584787,0.7518061365508922,73.56317813391915,0.11528149656350709
1,Operations,0.07371957903783546,0.6668493256207685,79.83902659657186,0.15264851680648886
2,Finance,0.053942658795526045,0.8932370577716714,82.11983802577659,0.41366675222254295
2,HR,0.05443806780304304,0.7709761525599301,76.0943483973101,0.2837096341704863
2,IT,0.06727207118671093,0.7910880769078336,82.93739810872773,0.2918729348767271
2,Marketing,0.05425114210954117,0.7106999165949756,74.91547305099313,0.39043660551077336
2,Operations,0.0579937922486873,0.7496822929321619,80.98298308447457,0.3334046867966976
3,Finance,0.04166820263583324,0.7806422767501037,76.77931946218202,0.5470847539583343
3,HR,0.03773681755227752,0.7769646162254369,78.38138207790898,0.5034629269437169
3,IT,0.04200013257997463,0.7610215553927243,79.15324745041292,0.5578933412634249
3,Marketing,0.04707283122130772,0.9098031582061649,78.14615656709012,0.4710917840302503
3,Operations,0.03350458485447886,0.8375079783855887,81.92046204319905,0.6148898292588637
4,Finance,0.05042655100240608,0.9240116241496676,81.65706506706782,0.4518853151912382
4,HR,0.02,0.9109275901573215,83.95730820041062,0.7368421052631579
4,IT,0.0297336503931816,0.8722111981794962,80.57852615870443,0.6870142063875622
4,Marketing,0.02,0.809618168757565,78.31922161398114,0.7752808988764044
4,Operations,0.02,0.8645084901071232,84.84184682138847,0.7701149425287356
5,Finance,0.02,0.9876374884244211,83.68285914580312,0.7826086956521738
5,HR,0.02,0.8632156807125672,85.59226596399081,0.7368421052631579
5,IT,0.02354211282085271,0.9997106374120254,84.2157805248038,0.7521882860962873
5,Marketing,0.02,1.0,86.25830345303378,0.7752808988764044
5,Operations,0.02,0.8776071125574003,83.4651998864967,0.7701149425287356
6,Finance,0.02,0.9248205481376037,88.3937224353848,0.7826086956521738
6,HR,0.02,0.9525230038393979,86.68015037799876,0.7368421052631579
6,IT,0.02,0.9913304149184581,91.13174785612652,0.7894736842105263
6,Marketing,0.02,0.9348594255963159,84.68629831595555,0.7752808988764044
6,Operations,0.02,1.0,88.40410770125736,0.7701149425287356
7,Finance,0.02,0.9576916416026422,87.24956400402564,0.7826086956521738
7,HR,0.02,1.0,88.73549367524306,0.7368421052631579
7,IT,0.02,1.0,92.09951239502028,0.7894736842105263
7,Marketing,0.02,1.0,89.61669240122558,0.7752808988764044
7,Operations,0.02,1.0,90.01646244106955,0.7701149425287356
8,Finance,0.02,1.0,89.88886197851691,0.7826086956521738
8,HR,0.02,1.0,94.66471267671969,0.7368421052631579
8,IT,0.02,1.0,94.74951689619255,0.7894736842105263
8,Marketing,0.02,1.0,94.1512769417722,0.7752808988764044
8,Operations,0.02,1.0,86.03806378686853,0.7701149425287356
