week,session_id,attendees,completion_rate,pre_training_click_rate,post_training_click_rate,effectiveness
1,W1S1,29,0.73,0.13214869418633057,0.08051521233111195,0.39072260360299177
1,W1S2,16,0.73,0.15970373553449024,0.10006228888951688,0.37345054231429026
1,W1S3,28,0.73,0.1483367569060949,0.0907916914762684,0.38793530767465556
2,W2S1,35,0.76,0.1639797345308853,0.09821189542891846,0.40107296971858175
2,W2S2,31,0.76,0.15605022690660042,0.09631838719564823,0.38277316794100563
2,W2S3,19,0.76,0.17978655711455901,0.11876144457738808,0.33943089804142623
2,W2S4,23,0.76,0.17669444870163764,0.11473914880989983,0.3506352369697487
2,W2S5,30,0.76,0.12966226666319272,0.07028301451235044,0.45795321706880426
3,W3S1,19,0.7899999999999999,0.1609306791942492,0.08917701238401209,0.44586692338275546
3,W3S2,23,0.7899999999999999,0.15610470738120658,0.09000028267966842,0.42346208394671675
3,W3S3,21,0.7899999999999999,0.1350218067939213,0.07809517195659905,0.421610673038965
4,W4S1,26,0.82,0.14957657818118872,0.0803768021700954,0.46263777960790475
4,W4S2,39,0.82,0.16937531098281355,0.09651177217231822,0.430189845188764
4,W4S3,31,0.82,0.15829999605094447,0.08513331827536752,0.4622026506686095
5,W5S1,26,0.85,0.1359881044608467,0.03762084866812736,0.7233519151010812
5,W5S2,36,0.85,0.15327292864423764,0.05525731861909862,0.6394841600022103
6,W6S1,30,0.8799999999999999,0.17639098453139257,0.08887697599682878,0.4961365160870157
6,W6S2,22,0.8799999999999999,0.13909338063873364,0.057780481729581806,0.584592153384677
7,W7S1,32,0.9099999999999999,0.1667980635817704,0.06813892237872479,0.5914885286104018
7,W7S2,29,0.9099999999999999,0.17575412389895834,0.08398423015908262,0.5221493055413855
7,W7S3,25,0.9099999999999999,0.12903246666573284,0.02650810252876487,0.7945625375244831
8,W8S1,34,0.94,0.17381040978170642,0.04698098833343503,0.7296998011083465
8,W8S2,32,0.94,0.1674884581448396,0.04181242274102007,0.750356393484369
8,W8S3,19,0.94,0.12191192041754319,0.02,0.8359471335411595
